,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
332,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.98,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
333,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.64,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
334,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.4,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
335,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.92,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
336,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.34,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
337,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.3,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
338,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.14,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
339,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.78,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
340,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.54,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
341,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.44,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
342,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,21.04,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
343,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.3,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
344,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,24.0,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
345,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,24.0,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
346,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,17.0,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
347,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,21.14,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
348,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.26,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
349,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.44,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
350,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.94,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
351,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,17.92,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
352,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.84,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
353,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.28,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
354,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,17.86,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
355,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.52,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
356,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.06,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
357,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.12,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
358,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,19.8,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
359,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.56,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
360,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.36,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
361,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.56,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
362,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,15.88,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
363,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,16.36,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
364,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,20.78,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
365,Y2,Non Halogenated,,3,"H3,H6.1",Flammable,18.34,,IE,,"R13,R2,R1",United Kingdom of Great Britain and Northern Ireland,2001
